"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1992-05-01,ZCY00,261.75,273.25,258.75,266,7,93816,230358
1992-06-01,ZCY00,266.75,272,256,259.75,-6.25,92290,232188
1992-07-01,ZCY00,264.25,264.25,230.75,230.75,-29,78694,211221
1992-08-01,ZCY00,230,239.75,222.75,230.75,0,75720,219796
1992-09-01,ZCY00,233.5,239.5,226,228.25,-2.5,65587,208612
1992-10-01,ZCY00,229.25,229.25,208,213.75,-14.5,62587,239887
1992-11-01,ZCY00,215.75,226.75,213,222,8.25,99623,262344
1992-12-01,ZCY00,220.25,223.25,218.75,219,-3,58575,244802
1993-01-01,ZCY00,212.75,219.75,212.75,214.5,-4.5,51751,256112
1993-02-01,ZCY00,213.5,223.75,210,223.75,9.25,66985,260985
1993-03-01,ZCY00,226.5,230.5,213,227.25,3.5,67309,248638
1993-04-01,ZCY00,227,242.75,227,239,11.75,85212,249999
1993-05-01,ZCY00,240.25,240.25,232,232,-7,68802,229015
1993-06-01,ZCY00,228,235.5,220,232.5,0.5,95215,232589
1993-07-01,ZCY00,239.75,253.25,236.25,239.75,7.25,132382,265672
1993-08-01,ZCY00,245,247,227.75,227.75,-12,92195,264937
1993-09-01,ZCY00,223.5,247,223.5,242.75,15,85338,243892
1993-10-01,ZCY00,240.75,261.75,234.5,261.75,19,98672,275792
1993-11-01,ZCY00,264.75,298.75,251.75,294.5,32.75,149945,332445
1993-12-01,ZCY00,294.5,311,294.5,311,16.5,94112,327225
1994-01-01,ZCY00,311.75,311.75,294.5,297.25,-13.75,119176,346076
1994-02-01,ZCY00,297.5,307.25,295.5,303.75,6.5,109005,336342
1994-03-01,ZCY00,303.75,303.75,285.75,285.75,-18,91791,327539
1994-04-01,ZCY00,283,288.75,272,282,-3.75,110886,290435
1994-05-01,ZCY00,281.75,290.75,267,290.75,8.75,103789,262620
1994-06-01,ZCY00,293,293,249.5,255.5,-35.25,132270,246308
1994-07-01,ZCY00,250,250,224,230.75,-24.75,74761,215081
1994-08-01,ZCY00,229.75,236.25,218.75,234.25,3.5,52330,208990
1994-09-01,ZCY00,234.25,240.25,226.25,226.25,-8,58576,212983
1994-10-01,ZCY00,224,224.25,204.75,210.75,-15.5,66966,243677
1994-11-01,ZCY00,209.75,222.5,209.75,222.5,11.75,97660,262849
1994-12-01,ZCY00,226.25,238.25,226.25,236,13.5,82029,250645
1995-01-01,ZCY00,233.5,242.5,233.5,235.5,-0.5,74974,292090
1995-02-01,ZCY00,237,246,237,246,10.5,87621,311372
1995-03-01,ZCY00,246.5,253.5,244.5,253.5,7.5,84566,336414
1995-04-01,ZCY00,256.75,259,249.75,258.25,4.75,101041,337492
1995-05-01,ZCY00,262,266,257.75,264.5,6.25,111705,368615
1995-06-01,ZCY00,266.25,288.5,264.5,277,12.5,159155,428694
1995-07-01,ZCY00,282.25,299.5,279,283.75,6.75,129871,413831
1995-08-01,ZCY00,287.75,293.75,271.25,293.75,10,111153,400373
1995-09-01,ZCY00,294.25,303.75,285.75,303.75,10,121951,439130
1995-10-01,ZCY00,308.75,340.25,308.75,340.25,36.5,144090,473425
1995-11-01,ZCY00,344.5,344.75,322.75,333.75,-6.5,165375,491057
1995-12-01,ZCY00,337.5,369.25,332.5,369.25,35.5,135186,487914
1996-01-01,ZCY00,373.25,374,351.25,373,3.75,181108,500837
1996-02-01,ZCY00,370.5,397.25,362.25,397.25,24.25,181966,508496
1996-03-01,ZCY00,394.75,422,388,422,24.75,180548,469907
1996-04-01,ZCY00,426.5,500,422.25,468,46,252873,453739
1996-05-01,ZCY00,484.25,522.5,471,497.25,29.25,189563,403128
1996-06-01,ZCY00,485.25,502.5,457,492.75,-4.5,154508,350066
1996-07-01,ZCY00,515.75,558.5,425.75,449.25,-43.5,139257,290327
